route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67085,Volvo AC Seater (2+2),02:00,06h 00m,08:00,4.0,INR 826,17 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67085,Volvo AC Seater (2+2),03:00,05h 00m,08:00,4.7,INR 711,17 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67069,Volvo AC Seater (2+2),06:40,06h 50m,13:30,4.9,INR 826,13 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67069,Volvo AC Seater (2+2),08:00,05h 30m,13:30,4.3,INR 711,14 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67160,Volvo AC Seater (2+2),11:45,05h 30m,17:15,4.6,INR 711,25 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66665,Volvo AC Seater (2+2),14:00,05h 00m,19:00,4.1,INR 711,26 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66689,Volvo AC Seater (2+2),15:26,04h 59m,20:25,3.7,INR 711,33 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),17:30,05h 00m,22:30,4.2,INR 711,39 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),03:30,07h 00m,10:30,4.6,INR 3850,30 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),02:00,07h 00m,09:00,4.6,INR 3300,47 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),04:30,07h 00m,11:30,4.6,INR 3300,40 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),11:30,07h 00m,18:30,4.6,INR 3300,47 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),19:30,07h 00m,02:30,4.6,INR 3300,47 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,4.6,INR 3850,36 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),15:30,07h 00m,22:30,4.6,INR 3300,44 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),06:00,07h 00m,13:00,4.6,INR 3300,43 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),16:30,07h 00m,23:30,4.6,INR 3300,45 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),23:30,07h 00m,06:30,4.6,INR 3300,41 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),08:00,07h 00m,15:00,4.6,INR 3300,41 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),10:00,07h 00m,17:00,4.6,INR 3850,37 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66695,Volvo AC Seater (2+2),04:20,05h 01m,09:21,4.1,INR 711,24 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66646,Volvo AC Seater (2+2),05:00,05h 01m,10:01,4.1,INR 711,23 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66647,Volvo AC Seater (2+2),06:15,05h 01m,11:16,4.2,INR 711,30 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66648,Volvo AC Seater (2+2),09:50,05h 01m,14:51,4.1,INR 711,21 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66649,Volvo AC Seater (2+2),12:40,06h 09m,18:49,4.3,INR 711,27 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66649,Volvo AC Seater (2+2),12:40,06h 40m,19:20,4.4,INR 826,27 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),16:00,05h 25m,21:25,4.4,INR 711,26 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),16:00,06h 40m,22:40,4.0,INR 826,25 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),01:59,07h 00m,08:59,4.6,INR 3850,18 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),02:25,08h 30m,10:55,4.6,INR 3300,51 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),04:00,07h 00m,11:00,4.6,INR 3300,51 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),06:00,07h 00m,13:00,4.6,INR 3300,34 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),08:00,07h 00m,15:00,4.6,INR 3300,29 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),12:00,07h 00m,19:00,4.6,INR 3850,40 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),12:00,07h 00m,19:00,4.6,INR 3300,16 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),14:00,07h 00m,21:00,4.6,INR 3850,23 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),14:00,07h 00m,21:00,4.6,INR 3300,6 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),16:00,07h 00m,23:00,4.6,INR 3300,51 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),16:00,07h 00m,23:00,4.6,INR 3850,13 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),18:00,07h 00m,01:00,4.6,INR 3300,44 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),20:00,07h 00m,03:00,4.6,INR 3300,16 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,4.6,INR 3850,17 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67134,Volvo AC Seater (2+2),06:40,06h 35m,13:15,4.0,INR 873,28 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67134,Volvo AC Seater (2+2),06:40,07h 35m,14:15,3.8,INR 997,29 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67161,Volvo AC Seater (2+2),10:20,07h 00m,17:20,3.7,INR 873,22 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67161,Volvo AC Seater (2+2),10:20,07h 50m,18:10,3.3,INR 997,24 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67162,Volvo AC Seater (2+2),15:00,07h 30m,22:30,2.8,INR 873,35 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67162,Volvo AC Seater (2+2),15:00,08h 30m,23:30,4.5,INR 997,36 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67096,Volvo AC Seater (2+2),16:15,07h 50m,00:05,4.2,INR 997,21 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67096,Volvo AC Seater (2+2),16:15,07h 00m,23:15,4.6,INR 873,21 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,08h 15m,04:05,4.8,INR 997,26 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,07h 35m,03:25,4.0,INR 873,25 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,07h 00m,03:50,4.1,INR 873,38 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,08h 00m,04:50,4.5,INR 997,38 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),21:50,07h 00m,04:50,4.2,INR 873,33 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),21:50,08h 00m,05:50,4.8,INR 997,34 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,RSRTC - 170039,Express Non AC Seater 2+3,08:20,06h 40m,15:00,3.6,INR 436,42 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,05h 51m,04:18,4.6,INR 610,23 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06h 50m,06:40,4.7,844,23 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,AdGolden Temple Volvo Bus Service,A/C Seater / Sleeper (2+2),01:40,06h 15m,07:55,4.7,1161,12 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:50,06h 50m,05:40,4.8,INR 759,22 Seats available
